,dataset,content_id,asset_id,ref_name,dis_name,width,height,DMOS,PSNR_score
0,LIVE,0,0,MeridianConversation.yuv,MeridianConversation.yuv,1920,1080,100.0,60.0
0,LIVE,1,1,MeridianDriving.yuv,MeridianDriving.yuv,1920,1080,100.0,60.0
0,LIVE,2,2,Skateboarding.yuv,Skateboarding.yuv,1920,1080,100.0,60.0
0,LIVE,3,3,Soccer.yuv,Soccer.yuv,1920,1080,100.0,60.0
0,LIVE,4,4,Sparks.yuv,Sparks.yuv,1920,1080,100.0,60.0
0,LIVE,5,5,TearsOfSteelStatic.yuv,TearsOfSteelStatic.yuv,1920,1080,100.0,60.0
0,LIVE,6,6,TearsOfSteelRobot.yuv,TearsOfSteelRobot.yuv,1920,1080,100.0,60.0
0,LIVE,0,7,MeridianConversation.yuv,MeridianConversation_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,71.20594786,55.67285830781251
0,LIVE,0,8,MeridianConversation.yuv,MeridianConversation_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,77.33257646,56.4005108890625
0,LIVE,0,9,MeridianConversation.yuv,MeridianConversation_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,80.02137423,56.522256343749994
0,LIVE,0,10,MeridianConversation.yuv,MeridianConversation_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,70.9271815,56.440428153125005
0,LIVE,1,11,MeridianDriving.yuv,MeridianDriving_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,64.80535644,52.48995652968749
0,LIVE,1,12,MeridianDriving.yuv,MeridianDriving_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,70.54420571,53.1482221078125
0,LIVE,1,13,MeridianDriving.yuv,MeridianDriving_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,68.77750425,53.1414927203125
0,LIVE,1,14,MeridianDriving.yuv,MeridianDriving_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,69.2465279,53.341436834374996
0,LIVE,2,15,Skateboarding.yuv,Skateboarding_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,51.06704602,52.249723178124995
0,LIVE,2,16,Skateboarding.yuv,Skateboarding_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,58.83564129,53.935875715625
0,LIVE,2,17,Skateboarding.yuv,Skateboarding_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,65.26753674,54.03535099375
0,LIVE,2,18,Skateboarding.yuv,Skateboarding_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,60.60814239,54.028701682812496
0,LIVE,3,19,Soccer.yuv,Soccer_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,56.27065646,44.494257888
0,LIVE,3,20,Soccer.yuv,Soccer_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,60.60716474,45.5596180256
0,LIVE,3,21,Soccer.yuv,Soccer_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,57.67124787,45.353179854400004
0,LIVE,3,22,Soccer.yuv,Soccer_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,54.56480162,45.488801955199996
0,LIVE,4,23,Sparks.yuv,Sparks_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,50.58734211,49.724165745312504
0,LIVE,4,24,Sparks.yuv,Sparks_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,64.64713045,52.07036822656251
0,LIVE,4,25,Sparks.yuv,Sparks_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,65.99035516,52.209518685937496
0,LIVE,4,26,Sparks.yuv,Sparks_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,66.69877301,51.86489869531249
0,LIVE,6,27,TearsOfSteelRobot.yuv,TearsOfSteelRobot_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,50.65387293,46.9436688859375
0,LIVE,6,28,TearsOfSteelRobot.yuv,TearsOfSteelRobot_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,60.03525298,48.935970771875006
0,LIVE,6,29,TearsOfSteelRobot.yuv,TearsOfSteelRobot_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,68.79083488,48.8680390328125
0,LIVE,6,30,TearsOfSteelRobot.yuv,TearsOfSteelRobot_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,58.99545326,48.73315494375
0,LIVE,5,31,TearsOfSteelStatic.yuv,TearsOfSteelStatic_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,65.07991342,50.8464805399061
0,LIVE,5,32,TearsOfSteelStatic.yuv,TearsOfSteelStatic_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,68.70405091,53.26102273552426
0,LIVE,5,33,TearsOfSteelStatic.yuv,TearsOfSteelStatic_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,69.33157037,52.227628350547725
0,LIVE,5,34,TearsOfSteelStatic.yuv,TearsOfSteelStatic_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,69.19903054,52.89708203755868
