,dataset,content_id,asset_id,ref_name,dis_name,width,height,DMOS,VMAF_feature_adm2_score,VMAF_feature_motion2_score,VMAF_feature_vif_scale0_score,VMAF_feature_vif_scale1_score,VMAF_feature_vif_scale2_score,VMAF_feature_vif_scale3_score,VMAF_score
0,LIVE,0,0,MeridianConversation.yuv,MeridianConversation.yuv,1920,1080,100.0,1.0,0.71054063125,0.9999930489411671,0.9999948281896668,0.9999941379828037,0.9999941328242485,98.41366949416239
0,LIVE,1,1,MeridianDriving.yuv,MeridianDriving.yuv,1920,1080,100.0,1.0,2.4518071609375,0.9999994264552402,0.9999972212071215,0.9999962611864902,0.9999961927061811,99.78948806198851
0,LIVE,2,2,Skateboarding.yuv,Skateboarding.yuv,1920,1080,100.0,1.0,9.38464674375,0.9999946323768052,0.9999911703871114,0.9999897963220098,0.9999900180696905,99.97692797863189
0,LIVE,3,3,Soccer.yuv,Soccer.yuv,1920,1080,100.0,1.0,10.8650972368,0.9999985455044414,0.9999969543255683,0.9999966050924026,0.9999968832304629,99.97112084992813
0,LIVE,4,4,Sparks.yuv,Sparks.yuv,1920,1080,100.0,1.0,2.6986518734375,0.9999978657351875,0.9999976290682946,0.9999972252576603,0.9999972456493873,99.72224169816518
0,LIVE,5,5,TearsOfSteelStatic.yuv,TearsOfSteelStatic.yuv,1920,1080,100.0,1.0,2.842280915492958,0.9999992603731802,0.999998132968124,0.9999972421840568,0.9999973732466375,99.75507376238352
0,LIVE,6,6,TearsOfSteelRobot.yuv,TearsOfSteelRobot.yuv,1920,1080,100.0,1.0,10.01673760625,0.9999990726150958,0.9999981443639221,0.9999976428230599,0.9999977959829455,99.86608252927365
0,LIVE,0,7,MeridianConversation.yuv,MeridianConversation_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,71.20594786,0.9691386826232371,0.71054063125,0.5406102401516995,0.9078169955035534,0.9453626898021131,0.9630188063529669,86.62964885552509
0,LIVE,0,8,MeridianConversation.yuv,MeridianConversation_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,77.33257646,0.9766552969256228,0.71054063125,0.5653290006938194,0.9327640793980155,0.963161532807133,0.9763181292788452,89.92751301757393
0,LIVE,0,9,MeridianConversation.yuv,MeridianConversation_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,80.02137423,0.978436951388486,0.71054063125,0.5677760942683288,0.9382082494854828,0.9674924865594168,0.9796943771250295,90.71720123930572
0,LIVE,0,10,MeridianConversation.yuv,MeridianConversation_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,70.9271815,0.977675291326259,0.71054063125,0.5667508498663472,0.9346313449541306,0.964992150807887,0.9779961489837223,90.3214613696266
0,LIVE,1,11,MeridianDriving.yuv,MeridianDriving_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,64.80535644,0.9218873105446892,2.4518071609375,0.4259409920965645,0.7183827925473787,0.7998156241009202,0.8556792506136823,71.18211130026172
0,LIVE,1,12,MeridianDriving.yuv,MeridianDriving_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,70.54420571,0.9437611015972571,2.4518071609375,0.4495834639886529,0.7696971586158508,0.851972172552806,0.901799083447194,77.71268566535345
0,LIVE,1,13,MeridianDriving.yuv,MeridianDriving_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,68.77750425,0.9465556095423991,2.4518071609375,0.45115565687833004,0.779520415595214,0.862550084849049,0.9106879850383368,78.68879444233502
0,LIVE,1,14,MeridianDriving.yuv,MeridianDriving_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,69.2465279,0.945110542285757,2.4518071609375,0.4563330695021923,0.7759179105062459,0.8560695086601562,0.9045245657459912,78.38613004105301
0,LIVE,2,15,Skateboarding.yuv,Skateboarding_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,51.06704602,0.8585543227402738,9.38464674375,0.41189249814882345,0.6705148564894408,0.7637531660017357,0.8224960644313141,60.37050027575715
0,LIVE,2,16,Skateboarding.yuv,Skateboarding_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,58.83564129,0.908103988033011,9.38464674375,0.461068933019936,0.746481329656132,0.8351409034874788,0.8866584445424083,75.15174070061917
0,LIVE,2,17,Skateboarding.yuv,Skateboarding_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,65.26753674,0.9115766887310442,9.38464674375,0.46460182000396594,0.757268428597156,0.845580343409239,0.8957404776270206,76.32669385056386
0,LIVE,2,18,Skateboarding.yuv,Skateboarding_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,60.60814239,0.9075934386608075,9.38464674375,0.4656418089466812,0.7538716032367273,0.8405443022248514,0.8903810448525398,75.43037181018516
0,LIVE,3,19,Soccer.yuv,Soccer_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,56.27065646,0.836847570907231,10.8650972368,0.2959585332458389,0.5762084100092547,0.6841874194970142,0.7624075759698413,54.36078318153069
0,LIVE,3,20,Soccer.yuv,Soccer_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,60.60716474,0.8757559350354499,10.8650972368,0.33014329258120517,0.6404432011827685,0.7479349846753789,0.8198493950998395,63.866308666904175
0,LIVE,3,21,Soccer.yuv,Soccer_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,57.67124787,0.8755853719909527,10.8650972368,0.3228956256596966,0.6329065506058923,0.7419875052069791,0.8157351218592548,63.12631194127323
0,LIVE,3,22,Soccer.yuv,Soccer_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,54.56480162,0.8727554840132598,10.8650972368,0.32653612047189884,0.6325678530109781,0.7407634815654054,0.8139939257924297,62.920110101967175
0,LIVE,4,23,Sparks.yuv,Sparks_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,50.58734211,0.8922876926221501,2.6986518734375,0.4628356009382683,0.7120628389221947,0.7875257221636371,0.8421364073106952,61.22216182135885
0,LIVE,4,24,Sparks.yuv,Sparks_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,64.64713045,0.9308332694274757,2.6986518734375,0.5396703356752617,0.8010924089931599,0.8624981125290848,0.9019289709998006,74.4049826302848
0,LIVE,4,25,Sparks.yuv,Sparks_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,65.99035516,0.926954582167858,2.6986518734375,0.5454822882748612,0.801462951957293,0.8617477040374059,0.9015030173185898,74.06865078465029
0,LIVE,4,26,Sparks.yuv,Sparks_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,66.69877301,0.9288200459886913,2.6986518734375,0.5317963595524736,0.7965655812560676,0.8593925886043421,0.8997875782150089,73.6860843492223
0,LIVE,6,27,TearsOfSteelRobot.yuv,TearsOfSteelRobot_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,50.65387293,0.8750992578034577,10.01673760625,0.3765491793750386,0.6491446706890633,0.7353169336795822,0.7956333498941336,61.076015290222095
