,dataset,content_id,asset_id,ref_name,dis_name,width,height,DMOS,VMAF_feature_adm2_score,VMAF_feature_motion2_score,VMAF_feature_vif_scale0_score,VMAF_feature_vif_scale1_score,VMAF_feature_vif_scale2_score,VMAF_feature_vif_scale3_score,VMAF_score
0,NFLX_public,0,0,BigBuckBunny_25fps.yuv,BigBuckBunny_25fps.yuv,1920,1080,100,1,5.67791154,0.999999827,0.999999204,0.999998749,0.99999882,99.01053296
0,NFLX_public,1,1,BirdsInCage_30fps.yuv,BirdsInCage_30fps.yuv,1920,1080,100,1,0.973123939,0.999999469,0.99999646,0.99999608,0.999997204,98.63881921
0,NFLX_public,2,2,CrowdRun_25fps.yuv,CrowdRun_25fps.yuv,1920,1080,100,1,11.30839245,0.999999997,0.999999374,0.999998946,0.999998806,99.98285249
0,NFLX_public,3,3,ElFuente1_30fps.yuv,ElFuente1_30fps.yuv,1920,1080,100,1,14.37538972,0.999999445,0.999998208,0.999997442,0.999997443,99.98570858
0,NFLX_public,4,4,ElFuente2_30fps.yuv,ElFuente2_30fps.yuv,1920,1080,100,1,10.21636299,0.999997577,0.999995726,0.999994954,0.999994934,99.98571075
0,NFLX_public,5,5,FoxBird_25fps.yuv,FoxBird_25fps.yuv,1920,1080,100,1,9.068207453,0.999998639,0.999996864,0.999995876,0.999995587,99.30087017
0,NFLX_public,6,6,OldTownCross_25fps.yuv,OldTownCross_25fps.yuv,1920,1080,100,1,4.62261228,1,0.999996087,0.999996165,0.999995709,99.9828499
0,NFLX_public,7,7,Seeking_25fps.yuv,Seeking_25fps.yuv,1920,1080,100,1,15.217948,1,0.999999356,0.99999879,0.999998777,99.98285304
0,NFLX_public,8,8,Tennis_24fps.yuv,Tennis_24fps.yuv,1920,1080,100,1,9.049414667,0.999997646,0.999993041,0.999992717,0.999993193,99.9785612
0,NFLX_public,0,9,BigBuckBunny_25fps.yuv,BigBuckBunny_20_288_375.yuv,1920,1080,22.5,0.699681257,5.67791154,0.213345785,0.531219744,0.696610687,0.811168172,26.62817904
0,NFLX_public,0,10,BigBuckBunny_25fps.yuv,BigBuckBunny_30_384_550.yuv,1920,1080,35,0.7674215,5.67791154,0.258086865,0.640013778,0.78643027,0.868740833,41.85684338
0,NFLX_public,0,11,BigBuckBunny_25fps.yuv,BigBuckBunny_40_384_750.yuv,1920,1080,49.16666667,0.775015484,5.67791154,0.279364267,0.688300781,0.830106826,0.902300179,46.0960249
0,NFLX_public,0,12,BigBuckBunny_25fps.yuv,BigBuckBunny_50_480_1050.yuv,1920,1080,61.66666667,0.834442023,5.67791154,0.331283386,0.777656478,0.880185021,0.929098356,59.97140655
0,NFLX_public,0,13,BigBuckBunny_25fps.yuv,BigBuckBunny_55_480_1750.yuv,1920,1080,78.33333333,0.84263991,5.67791154,0.370569152,0.841762717,0.925025313,0.95902498,65.09243726
0,NFLX_public,0,14,BigBuckBunny_25fps.yuv,BigBuckBunny_75_720_3050.yuv,1920,1080,97.5,0.914974877,5.67791154,0.484745414,0.91614872,0.95827213,0.976410687,82.17354549
0,NFLX_public,0,15,BigBuckBunny_25fps.yuv,BigBuckBunny_80_720_4250.yuv,1920,1080,95,0.918599279,5.67791154,0.514003662,0.938524505,0.97068259,0.983826384,84.05235868
0,NFLX_public,0,16,BigBuckBunny_25fps.yuv,BigBuckBunny_85_1080_3800.yuv,1920,1080,99.16666667,0.97447996,5.67791154,0.615990211,0.929829986,0.964394006,0.979203402,94.70631334
0,NFLX_public,0,17,BigBuckBunny_25fps.yuv,BigBuckBunny_90_1080_4300.yuv,1920,1080,103.3333333,0.977341277,5.67791154,0.642247047,0.940528335,0.970251503,0.982737075,95.38216609
0,NFLX_public,0,18,BigBuckBunny_25fps.yuv,BigBuckBunny_95_1080_5800.yuv,1920,1080,99.16666667,0.983053624,5.67791154,0.701769519,0.960015026,0.980530067,0.988823655,96.52614398
0,NFLX_public,1,19,BirdsInCage_30fps.yuv,BirdsInCage_40_288_375.yuv,1920,1080,38.33333333,0.791025074,0.973123939,0.434738031,0.811995983,0.894650674,0.940941304,47.12702643
0,NFLX_public,1,20,BirdsInCage_30fps.yuv,BirdsInCage_50_288_550.yuv,1920,1080,40,0.793178444,0.973123939,0.447271416,0.831290007,0.908965047,0.950759301,48.63264639
0,NFLX_public,1,21,BirdsInCage_30fps.yuv,BirdsInCage_50_288_550.yuv,1920,1080,40,0.793178444,0.973123939,0.447271416,0.831290007,0.908965047,0.950759301,48.63264639
0,NFLX_public,1,22,BirdsInCage_30fps.yuv,BirdsInCage_65_384_750.yuv,1920,1080,55,0.850244047,0.973123939,0.480168642,0.885340918,0.943078178,0.968816822,62.39435812
0,NFLX_public,1,23,BirdsInCage_30fps.yuv,BirdsInCage_80_480_750.yuv,1920,1080,70,0.895213304,0.973123939,0.495962016,0.908164215,0.954166046,0.974203042,72.4588855
0,NFLX_public,1,24,BirdsInCage_30fps.yuv,BirdsInCage_85_720_1050.yuv,1920,1080,92.5,0.943381252,0.973123939,0.521340416,0.927789562,0.964233586,0.980226139,83.44174271
0,NFLX_public,1,25,BirdsInCage_30fps.yuv,BirdsInCage_90_1080_1800.yuv,1920,1080,100.8333333,0.977744771,0.973123939,0.536831698,0.940162346,0.971526826,0.984428456,91.42326451
0,NFLX_public,1,26,BirdsInCage_30fps.yuv,BirdsInCage_95_1080_3000.yuv,1920,1080,102.5,0.981163199,0.973123939,0.556590835,0.955340277,0.980090459,0.989626471,92.9552647
0,NFLX_public,2,27,CrowdRun_25fps.yuv,CrowdRun_03_288_375.yuv,1920,1080,20,0.590966015,11.30839245,0.075819154,0.222277453,0.324400271,0.437087297,10.44162166
0,NFLX_public,2,28,CrowdRun_25fps.yuv,CrowdRun_03_288_375.yuv,1920,1080,20,0.590966015,11.30839245,0.075819154,0.222277453,0.324400271,0.437087297,10.44162166
0,NFLX_public,2,29,CrowdRun_25fps.yuv,CrowdRun_50_1080_4300.yuv,1920,1080,58.33333333,0.89084649,11.30839245,0.245997673,0.610095747,0.736798981,0.821119012,66.22264809
0,NFLX_public,2,30,CrowdRun_25fps.yuv,CrowdRun_65_1080_5800.yuv,1920,1080,67.5,0.914509529,11.30839245,0.29516118,0.693043168,0.807040867,0.875202782,75.8324223
0,NFLX_public,2,31,CrowdRun_25fps.yuv,CrowdRun_75_1080_7500.yuv,1920,1080,81.66666667,0.930819874,11.30839245,0.339749082,0.756380054,0.855831701,0.910390349,82.96499509
0,NFLX_public,2,32,CrowdRun_25fps.yuv,CrowdRun_80_1080_10000.yuv,1920,1080,85,0.945487058,11.30839245,0.39087779,0.816589425,0.898264642,0.939180741,89.56519654
0,NFLX_public,2,33,CrowdRun_25fps.yuv,CrowdRun_90_1080_15000.yuv,1920,1080,94.16666667,0.961439884,11.30839245,0.464046893,0.882208824,0.939774028,0.965524593,96.52912583
0,NFLX_public,3,34,ElFuente1_30fps.yuv,ElFuente1_10_288_375.yuv,1920,1080,18.33333333,0.682371547,14.37538972,0.17555054,0.336448375,0.438206623,0.538294844,21.56530177
0,NFLX_public,3,35,ElFuente1_30fps.yuv,ElFuente1_25_384_750.yuv,1920,1080,29.16666667,0.769574054,14.37538972,0.232498805,0.450455428,0.574731733,0.678739233,38.2849809
0,NFLX_public,3,36,ElFuente1_30fps.yuv,ElFuente1_50_480_1750.yuv,1920,1080,66.66666667,0.854716729,14.37538972,0.340605373,0.64477593,0.765590947,0.843805775,63.77423107
0,NFLX_public,3,37,ElFuente1_30fps.yuv,ElFuente1_60_720_2350.yuv,1920,1080,72.5,0.895102775,14.37538972,0.371470127,0.675437339,0.786826421,0.858975387,73.01610315
0,NFLX_public,3,38,ElFuente1_30fps.yuv,ElFuente1_70_1080_4300.yuv,1920,1080,86.66666667,0.940121831,14.37538972,0.447500192,0.784774888,0.873953505,0.922527954,89.12622356
0,NFLX_public,3,39,ElFuente1_30fps.yuv,ElFuente1_85_1080_5800.yuv,1920,1080,95,0.954698437,14.37538972,0.508458908,0.847303292,0.917287101,0.951718228,95.6730471
0,NFLX_public,3,40,ElFuente1_30fps.yuv,ElFuente1_90_1080_7500.yuv,1920,1080,99.16666667,0.964703921,14.37538972,0.561788662,0.891074184,0.944451632,0.968725542,98.78572575
0,NFLX_public,4,41,ElFuente2_30fps.yuv,ElFuente2_05_288_375.yuv,1920,1080,25,0.658849074,10.21636299,0.157651675,0.288299218,0.367442564,0.447500797,16.54922723
0,NFLX_public,4,42,ElFuente2_30fps.yuv,ElFuente2_30_480_1750.yuv,1920,1080,55,0.783967231,10.21636299,0.232296232,0.438066296,0.54706369,0.642283518,37.4489225
0,NFLX_public,4,43,ElFuente2_30fps.yuv,ElFuente2_50_720_3050.yuv,1920,1080,58.33333333,0.829040648,10.21636299,0.267818866,0.498291662,0.610997308,0.703896957,47.56243643
0,NFLX_public,4,44,ElFuente2_30fps.yuv,ElFuente2_60_1080_4300.yuv,1920,1080,68.33333333,0.850482459,10.21636299,0.273218291,0.524216216,0.638906468,0.727877779,52.72057018
0,NFLX_public,4,45,ElFuente2_30fps.yuv,ElFuente2_65_720_4250.yuv,1920,1080,75.83333333,0.850744236,10.21636299,0.302541731,0.559581397,0.675076995,0.764104561,54.77759814
0,NFLX_public,4,46,ElFuente2_30fps.yuv,ElFuente2_70_1080_5800.yuv,1920,1080,82.5,0.873222926,10.21636299,0.307946801,0.586624477,0.702351278,0.785347063,60.33648741
0,NFLX_public,4,47,ElFuente2_30fps.yuv,ElFuente2_80_1080_10000.yuv,1920,1080,93.33333333,0.910384102,10.21636299,0.386626492,0.71215873,0.816868619,0.879793107,75.0323646
0,NFLX_public,4,48,ElFuente2_30fps.yuv,ElFuente2_85_1080_15000.yuv,1920,1080,96.66666667,0.935698902,10.21636299,0.460390788,0.806540464,0.889060307,0.93175012,85.7130857
0,NFLX_public,4,49,ElFuente2_30fps.yuv,ElFuente2_90_1080_20000.yuv,1920,1080,97.5,0.950863759,10.21636299,0.519536894,0.864270441,0.927159169,0.95667773,91.80831443
0,NFLX_public,5,50,FoxBird_25fps.yuv,FoxBird_20_288_375.yuv,1920,1080,34.16666667,0.695855737,9.068207453,0.310452817,0.552563015,0.681238895,0.780714175,25.96298165
0,NFLX_public,5,51,FoxBird_25fps.yuv,FoxBird_40_384_750.yuv,1920,1080,60,0.78883395,9.068207453,0.387798179,0.702266842,0.82222969,0.890966922,50.13606543
0,NFLX_public,5,52,FoxBird_25fps.yuv,FoxBird_55_480_750.yuv,1920,1080,64.16666667,0.844070743,9.068207453,0.402073932,0.714862177,0.821151497,0.883409808,60.13793833
0,NFLX_public,5,53,FoxBird_25fps.yuv,FoxBird_65_480_1750.yuv,1920,1080,83.33333333,0.866971551,9.068207453,0.50522113,0.863592735,0.933022571,0.962913386,73.48774371
0,NFLX_public,5,54,FoxBird_25fps.yuv,FoxBird_80_1080_2300.yuv,1920,1080,90.83333333,0.96614659,9.068207453,0.591056052,0.901631505,0.949448411,0.970908394,94.54517598
0,NFLX_public,5,55,FoxBird_25fps.yuv,FoxBird_95_1080_5800.yuv,1920,1080,101.6666667,0.988747274,9.068207453,0.786699722,0.98015182,0.990987483,0.995013201,98.29657422
0,NFLX_public,6,56,OldTownCross_25fps.yuv,OldTownCross_20_288_375.yuv,1920,1080,30.83333333,0.684458199,4.62261228,0.117097771,0.531551977,0.707685807,0.834796211,25.3520469
0,NFLX_public,6,57,OldTownCross_25fps.yuv,OldTownCross_45_384_750.yuv,1920,1080,45,0.769231269,4.62261228,0.165115595,0.686716731,0.83713547,0.911430246,45.4454572
0,NFLX_public,6,58,OldTownCross_25fps.yuv,OldTownCross_55_480_750.yuv,1920,1080,57.5,0.828874671,4.62261228,0.198714395,0.751779042,0.866259056,0.921661222,57.58715634
0,NFLX_public,6,59,OldTownCross_25fps.yuv,OldTownCross_60_480_1750.yuv,1920,1080,75,0.839401998,4.62261228,0.225412146,0.82841023,0.919915872,0.956650195,63.62642958
0,NFLX_public,6,60,OldTownCross_25fps.yuv,OldTownCross_80_720_2350.yuv,1920,1080,99.16666667,0.913992213,4.62261228,0.308211714,0.893867266,0.947592241,0.970824881,80.54505998
0,NFLX_public,6,61,OldTownCross_25fps.yuv,OldTownCross_85_720_2950.yuv,1920,1080,99.16666667,0.915572139,4.62261228,0.316153885,0.904249772,0.953525189,0.974386218,81.37629667
0,NFLX_public,6,62,OldTownCross_25fps.yuv,OldTownCross_90_1080_4300.yuv,1920,1080,109.1666667,0.968586405,4.62261228,0.364733749,0.927955154,0.967150518,0.982282467,93.68753202
0,NFLX_public,7,63,Seeking_25fps.yuv,Seeking_10_288_375.yuv,1920,1080,19.16666667,0.607854036,15.217948,0.078980681,0.273292673,0.383901809,0.494007908,14.19737792
0,NFLX_public,7,64,Seeking_25fps.yuv,Seeking_30_480_1050.yuv,1920,1080,41.66666667,0.757263886,15.217948,0.132690173,0.444439964,0.57899712,0.685220151,37.86201642
0,NFLX_public,7,65,Seeking_25fps.yuv,Seeking_45_480_1750.yuv,1920,1080,50.83333333,0.791113083,15.217948,0.169773558,0.56361688,0.702268991,0.794858739,49.39591152
0,NFLX_public,7,66,Seeking_25fps.yuv,Seeking_50_720_2350.yuv,1920,1080,66.66666667,0.843679752,15.217948,0.19393806,0.586214618,0.714478902,0.80254732,59.31713494
0,NFLX_public,7,67,Seeking_25fps.yuv,Seeking_60_720_3050.yuv,1920,1080,75.83333333,0.861055382,15.217948,0.22101732,0.651070072,0.772357969,0.849060971,66.36176638
0,NFLX_public,7,68,Seeking_25fps.yuv,Seeking_65_1080_4300.yuv,1920,1080,80.83333333,0.906445418,15.217948,0.240999382,0.682740382,0.798403846,0.867716989,76.99199332
0,NFLX_public,7,69,Seeking_25fps.yuv,Seeking_75_1080_5800.yuv,1920,1080,91.66666667,0.925396804,15.217948,0.27967179,0.752330466,0.853480685,0.908316023,85.11819824
0,NFLX_public,7,70,Seeking_25fps.yuv,Seeking_85_1080_7500.yuv,1920,1080,90,0.938994984,15.217948,0.314675162,0.806313392,0.892327041,0.935188233,91.16772791
0,NFLX_public,7,71,Seeking_25fps.yuv,Seeking_90_1080_15000.yuv,1920,1080,91.66666667,0.962505561,15.217948,0.398980309,0.900946486,0.951858125,0.973233226,99.2747623
0,NFLX_public,7,72,Seeking_25fps.yuv,Seeking_95_1080_20000.yuv,1920,1080,96.66666667,0.968565781,15.217948,0.430364168,0.9237469,0.964336709,0.980559707,99.83167366
0,NFLX_public,8,73,Tennis_24fps.yuv,Tennis_20_288_375.yuv,1920,1080,33.33333333,0.825429385,9.049414667,0.358746544,0.650171223,0.753455888,0.830686045,52.11482523
0,NFLX_public,8,74,Tennis_24fps.yuv,Tennis_40_384_750.yuv,1920,1080,50,0.881839766,9.049414667,0.438221762,0.759896011,0.845902781,0.900621663,69.52148659
0,NFLX_public,8,75,Tennis_24fps.yuv,Tennis_60_480_1050.yuv,1920,1080,71.66666667,0.913501916,9.049414667,0.475524165,0.803345169,0.877165738,0.922577757,78.42002786
0,NFLX_public,8,76,Tennis_24fps.yuv,Tennis_70_480_1750.yuv,1920,1080,68.33333333,0.925381932,9.049414667,0.531801693,0.866686908,0.922839436,0.954563529,84.81418428
0,NFLX_public,8,77,Tennis_24fps.yuv,Tennis_80_720_3050.yuv,1920,1080,94.16666667,0.952617272,9.049414667,0.577543343,0.9053956,0.948123437,0.970787284,92.68405434
0,NFLX_public,8,78,Tennis_24fps.yuv,Tennis_90_1080_4300.yuv,1920,1080,99.16666667,0.97027917,9.049414667,0.586991967,0.924956447,0.96173413,0.978977467,97.20171463
