,dataset,content_id,asset_id,ref_name,dis_name,width,height,DMOS,VMAF_feature_adm2_score,VMAF_feature_motion2_score,VMAF_feature_vif_scale0_score,VMAF_feature_vif_scale1_score,VMAF_feature_vif_scale2_score,VMAF_feature_vif_scale3_score,VMAF_score
0,NFLX_public,0,0,BigBuckBunny_25fps.yuv,BigBuckBunny_25fps.yuv,1920,1080,100.0,0.9559331222434627,6.784001080357143,0.9999998015905512,0.9999991971952233,0.999998748260972,0.9999988255109559,93.38185407898858
0,NFLX_public,1,1,BirdsInCage_30fps.yuv,BirdsInCage_30fps.yuv,1920,1080,100.0,0.9599472750574488,0.7525771428571427,0.9999994753003028,0.9999964548743796,0.9999960857894558,0.9999972455903648,89.75913719776781
0,NFLX_public,2,2,CrowdRun_25fps.yuv,CrowdRun_25fps.yuv,1920,1080,100.0,0.951745283755245,10.836929464285715,0.9999999971784608,0.9999993145298385,0.9999988870083861,0.9999987661706482,99.67742338725712
0,NFLX_public,3,3,ElFuente1_30fps.yuv,ElFuente1_30fps.yuv,1920,1080,100.0,0.9556913682300232,11.739892741071428,0.9999994001214649,0.9999982710424792,0.9999973970514527,0.9999973394992845,99.84280150969798
0,NFLX_public,4,4,ElFuente2_30fps.yuv,ElFuente2_30fps.yuv,1920,1080,100.0,0.959093599942089,10.199652294642856,0.9999975559001832,0.999995574008377,0.9999947951598175,0.9999945557609038,99.38021553605527
0,NFLX_public,5,5,FoxBird_25fps.yuv,FoxBird_25fps.yuv,1920,1080,100.0,0.9550564486459405,9.91214055357143,0.999998951047047,0.9999973779572128,0.9999962863659716,0.9999960480001828,95.63230564936693
0,NFLX_public,6,6,OldTownCross_25fps.yuv,OldTownCross_25fps.yuv,1920,1080,100.0,0.955043033822046,4.315037232142857,1.0,0.9999960464261399,0.9999961214767203,0.9999956538371502,93.45916443645021
0,NFLX_public,7,7,Seeking_25fps.yuv,Seeking_25fps.yuv,1920,1080,100.0,0.9552955190489208,15.966993419642856,1.0,0.9999992361371712,0.9999985975039307,0.9999985944900304,99.89106143879495
0,NFLX_public,8,8,Tennis_24fps.yuv,Tennis_24fps.yuv,1920,1080,100.0,0.9617206489034712,8.292808375,0.9999978777505405,0.9999931856721619,0.9999928178069357,0.9999932333121259,98.65655590154294
0,NFLX_public,0,9,BigBuckBunny_25fps.yuv,BigBuckBunny_20_288_375.yuv,1920,1080,22.5,0.6813411097431076,6.784001080357143,0.2594951372768222,0.5807404102434449,0.7356764719468379,0.836648878089157,25.61835574339636
0,NFLX_public,0,10,BigBuckBunny_25fps.yuv,BigBuckBunny_30_384_550.yuv,1920,1080,35.0,0.7438856900578862,6.784001080357143,0.3105571890088848,0.6856809546735813,0.8169700211299035,0.8879120324049488,39.92137633609692
0,NFLX_public,0,11,BigBuckBunny_25fps.yuv,BigBuckBunny_40_384_750.yuv,1920,1080,49.166666666666664,0.7516599862274295,6.784001080357143,0.3348848782123092,0.7319016273200311,0.8561145978656447,0.9171132811751325,43.973301863718156
0,NFLX_public,0,12,BigBuckBunny_25fps.yuv,BigBuckBunny_50_480_1050.yuv,1920,1080,61.666666666666664,0.8050122663098385,6.784001080357143,0.3900394041567249,0.8107252330855103,0.8988936284411139,0.9405125069791619,56.42615589735887
0,NFLX_public,0,13,BigBuckBunny_25fps.yuv,BigBuckBunny_55_480_1750.yuv,1920,1080,78.33333333333333,0.8134110668911979,6.784001080357143,0.4333467201944701,0.8690336850663247,0.9378278561837534,0.965895366108912,61.15427853125722
0,NFLX_public,0,14,BigBuckBunny_25fps.yuv,BigBuckBunny_75_720_3050.yuv,1920,1080,97.5,0.8775718548805905,6.784001080357143,0.5462452443247587,0.9305082191090902,0.9655427863137627,0.9806159227780025,76.094670841211
0,NFLX_public,0,15,BigBuckBunny_25fps.yuv,BigBuckBunny_80_720_4250.yuv,1920,1080,95.0,0.8813881705149826,6.784001080357143,0.5754438010959531,0.9492954581566696,0.9756657312618476,0.9865736044174032,77.80842285809547
0,NFLX_public,0,16,BigBuckBunny_25fps.yuv,BigBuckBunny_85_1080_3800.yuv,1920,1080,99.16666666666667,0.9309668225719729,6.784001080357143,0.6753350179331156,0.9438866833929114,0.9721234863895835,0.9839826535437662,87.75340825192986
0,NFLX_public,0,17,BigBuckBunny_25fps.yuv,BigBuckBunny_90_1080_4300.yuv,1920,1080,103.33333333333333,0.9338142112149997,6.784001080357143,0.7003234174600286,0.9527103965042889,0.9768200358458218,0.9867524547512231,88.81013461067914
0,NFLX_public,0,18,BigBuckBunny_25fps.yuv,BigBuckBunny_95_1080_5800.yuv,1920,1080,99.16666666666667,0.9394113427290539,6.784001080357143,0.7565386033213292,0.9685790550700205,0.98493386426492,0.9914578981717003,90.80634536119373
0,NFLX_public,1,19,BirdsInCage_30fps.yuv,BirdsInCage_40_288_375.yuv,1920,1080,38.333333333333336,0.7647926094196514,0.7525771428571427,0.47594373625410746,0.8403509921943509,0.9143622716268184,0.953195808648708,43.091376992391176
0,NFLX_public,1,20,BirdsInCage_30fps.yuv,BirdsInCage_50_288_550.yuv,1920,1080,40.0,0.7662132160424735,0.7525771428571427,0.4874712613820896,0.8554812519242022,0.9247677170008287,0.9600228435839556,44.13911364211783
0,NFLX_public,1,21,BirdsInCage_30fps.yuv,BirdsInCage_50_288_550.yuv,1920,1080,40.0,0.7662132160424735,0.7525771428571427,0.4874712613820896,0.8554812519242022,0.9247677170008287,0.9600228435839556,44.13911364211783
